date,weekday,champion,lane,role,kills,deaths,assists,kda,gold,damage,cs,vision,game_duration,cs_per_min,gold_per_min,damage_per_min,win
2026-03-14 20:13:53.106,Saturday,Nautilus,BOTTOM,SUPPORT,2,5,24,5.2,10340,13613,37,76,2027,1.0952146028613716,306.06808090774547,402.95017266896895,0
2026-03-14 19:27:15.432,Saturday,Annie,BOTTOM,DUO,4,6,12,2.6666666666666665,10360,29954,146,37,2039,4.296223639038744,304.85532123589996,881.4320745463463,0
2026-03-14 18:45:23.590,Saturday,Malzahar,MIDDLE,SOLO,9,3,6,5.0,15983,43805,261,35,2055,7.62043795620438,466.6569343065693,1278.978102189781,1
2026-02-28 20:19:17.404,Saturday,Mel,NONE,SUPPORT,0,3,0,0.0,4642,3502,117,8,911,7.705817782656421,305.7299670691548,230.6476399560922,0
2026-02-28 19:43:36.541,Saturday,Smolder,BOTTOM,CARRY,12,3,8,6.666666666666667,14279,18404,202,33,1744,6.9495412844036695,491.25,633.1651376146789,1
2026-02-28 18:59:09.325,Saturday,Malzahar,MIDDLE,SOLO,5,5,9,2.8,16407,36309,313,41,2282,8.229623137598598,431.3847502191061,954.6625766871166,0
2026-02-28 18:29:10.136,Saturday,Malzahar,MIDDLE,SOLO,4,4,1,1.25,9737,15830,202,18,1409,8.601845280340667,414.6344925479063,674.0951029098651,0
2026-02-14 20:02:01.337,Saturday,Malzahar,MIDDLE,SOLO,9,1,13,22.0,12125,21158,186,24,1496,7.459893048128342,486.2967914438503,848.5828877005348,1
2026-02-14 19:25:50.358,Saturday,Corki,BOTTOM,CARRY,1,4,3,1.0,10028,8722,231,27,1724,8.039443155452435,349.00232018561485,303.54988399071925,0
2026-02-14 18:52:51.585,Saturday,Gnar,JUNGLE,NONE,2,3,8,3.3333333333333335,9348,15315,146,29,1645,5.325227963525836,340.96048632218844,558.6018237082067,1
2025-06-12 06:52:38.611,Thursday,Yorick,MIDDLE,DUO,5,0,4,9.0,12966,12200,207,21,1683,7.379679144385027,462.24598930481284,434.93761140819964,1
2025-06-11 01:01:34.536,Wednesday,Yorick,TOP,SOLO,3,2,5,4.0,11091,19844,156,24,1659,5.641952983725136,401.121157323689,717.6853526220615,1
2025-06-10 21:53:33.570,Tuesday,Sejuani,JUNGLE,NONE,8,8,14,2.75,19850,28848,70,31,2901,1.4477766287487073,410.5480868665977,596.6494312306102,1
2025-06-10 21:18:48.085,Tuesday,Yorick,TOP,SOLO,2,1,3,5.0,9388,11684,202,27,1590,7.622641509433962,354.2641509433962,440.9056603773585,0
2025-06-10 03:48:58.202,Tuesday,Yorick,JUNGLE,NONE,12,4,9,5.25,23725,37889,139,51,2997,2.7827827827827827,474.97497497497494,758.5385385385385,1
2025-05-30 07:07:47.327,Friday,Nami,BOTTOM,SUPPORT,0,8,22,2.75,9776,14357,32,89,2200,0.8727272727272728,266.6181818181818,391.55454545454546,1
2025-05-30 05:34:03.152,Friday,Yorick,JUNGLE,NONE,7,5,13,4.0,22733,53132,151,23,2812,3.2219061166429586,485.0568990042674,1133.6842105263158,1
2025-05-30 04:56:30.041,Friday,Senna,BOTTOM,SUPPORT,2,6,16,3.0,11668,17255,89,51,1793,2.978248745119911,390.45175683212494,577.4121583937535,1
2025-05-30 03:56:12.432,Friday,Yorick,JUNGLE,NONE,6,7,19,3.5714285714285716,20408,48779,132,52,2736,2.8947368421052633,447.5438596491228,1069.7149122807018,1
2025-05-30 03:16:31.034,Friday,Blitzcrank,BOTTOM,SUPPORT,2,5,21,4.6,9645,11376,33,71,1876,1.0554371002132197,308.47547974413646,363.8379530916844,1
2025-05-15 04:14:41.143,Thursday,Yorick,TOP,SOLO,7,6,5,2.0,16914,23628,267,39,2309,6.938068427890862,439.5149415331312,613.980077955825,0
2025-05-15 01:14:26.412,Thursday,Yorick,TOP,SOLO,7,4,10,4.25,14710,22201,199,17,1929,6.189735614307932,457.54276827371694,690.5443234836704,1
2025-05-14 04:49:24.867,Wednesday,Gnar,TOP,SOLO,3,1,6,9.0,11736,22829,199,29,1790,6.670391061452515,393.3854748603352,765.2178770949721,0
2025-05-14 04:40:35.213,Wednesday,Yorick,NONE,SUPPORT,0,0,0,0.0,515,0,0,0,107,0.0,288.78504672897196,0.0,0
